"ScGl_data_id","Site","Year","Tag","Transect","X.coord.m.","Y.coord.m.","Degrees","Direction","Height.cm.","Width.cm.","Fl","Br","Minis","PhotoNumber","Comments","X_coord_old","Y_coord_old","Vol"
"90",15230,"Atwell Gulch_108",2017,185.08,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"91",17254,"Atwell Gulch_108",2018,185.08,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"92",2354,"Atwell Gulch_108",2011,185.09,"2.4",0.1,6.63,NA,NA,0.3,0.2,"n","n",NA,"3800","",0,0,0.00942477796076938
"93",2355,"Atwell Gulch_108",2012,185.09,"2.4",0.1,6.63,NA,NA,0.8,0.9,"n","n",NA,"","",0,0,0.508938009881547
"94",6084,"Atwell Gulch_108",2013,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","12 o'c",0,0,0
"95",7755,"Atwell Gulch_108",2014,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",1,"","",0,0,0
"96",9622,"Atwell Gulch_108",2015,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","dead",0,0,0
"97",11363,"Atwell Gulch_108",2016,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"98",15231,"Atwell Gulch_108",2017,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"99",17255,"Atwell Gulch_108",2018,185.09,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"100",2356,"Atwell Gulch_108",2011,185.1,"2.4",0.1,6.63,NA,NA,0.3,0.2,"n","n",NA,"3800","",0,0,0.00942477796076938
"101",2357,"Atwell Gulch_108",2012,185.1,"2.4",0.1,6.63,NA,NA,1.1,1.2,"n","n",NA,"","",0,0,1.24407069082156
"102",6085,"Atwell Gulch_108",2013,185.1,"2.4",0.1,6.63,NA,NA,0.6,0.3,"n","n",NA,"","1 o'c",0,0,0.0424115008234622
